domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
3qchiendi.vn,CÔNG TY TNHH SOHA ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-10-29,Giấy phép (ABEI),1864 /QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qchiendia.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-10-29,Giấy phép (ABEI),1864/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qct.tptgame.vn,CÔNG TY TNHH TPT ONLINE,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-08-10,Giấy phép (ABEI),1368/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qdauphao.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-10-29,Giấy phép (ABEI),1860/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qgoituongdi.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-05-05,Giấy phép (ABEI),219/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3qlegend.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-11-01,Giấy phép (ABEI),2118/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qphancong.lussom.vn,CÔNG TY TNHH LUSSOM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-04-27,Giấy phép (ABEI),742/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qsieuhung.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2022-11-08,Giấy phép (ABEI),2053/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qsieulay.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-08-29,Giấy phép (ABEI),1674/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qthoikhong.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-08-21,Giấy phép (ABEI),367 /QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3qtini.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-07-27,Giấy phép (ABEI),1392/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qtocbien.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-01-08,Giấy phép (ABEI),19/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qtt.vdcpay.vn,CÔNG TY CỔ PHẦN GMETA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-03-15,Giấy phép (ABEI),325/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
